geo,time,value,measure
abw,1950,60.87,life_expectancy_female
abw,1951,61.595,life_expectancy_female
abw,1952,62.342,life_expectancy_female
abw,1953,62.996,life_expectancy_female
abw,1954,63.718,life_expectancy_female
abw,1955,64.425,life_expectancy_female
abw,1956,65.082,life_expectancy_female
abw,1957,65.705,life_expectancy_female
abw,1958,66.377,life_expectancy_female
abw,1959,66.91,life_expectancy_female
abw,1960,67.459,life_expectancy_female
abw,1961,67.394,life_expectancy_female
abw,1962,67.922,life_expectancy_female
abw,1963,68.389,life_expectancy_female
abw,1964,68.902,life_expectancy_female
abw,1965,69.319,life_expectancy_female
abw,1966,69.789,life_expectancy_female
abw,1967,70.144,life_expectancy_female
abw,1968,70.542,life_expectancy_female
abw,1969,70.918,life_expectancy_female
abw,1970,71.281,life_expectancy_female
abw,1971,71.643,life_expectancy_female
abw,1972,72.324,life_expectancy_female
abw,1973,73.009,life_expectancy_female
abw,1974,73.432,life_expectancy_female
abw,1975,73.832,life_expectancy_female
abw,1976,73.991,life_expectancy_female
abw,1977,74.119,life_expectancy_female
abw,1978,74.227,life_expectancy_female
abw,1979,74.349,life_expectancy_female
abw,1980,74.419,life_expectancy_female
abw,1981,74.846,life_expectancy_female
abw,1982,74.942,life_expectancy_female
abw,1983,75.038,life_expectancy_female
abw,1984,75.14,life_expectancy_female
abw,1985,75.225,life_expectancy_female
abw,1986,75.282,life_expectancy_female
abw,1987,75.647,life_expectancy_female
abw,1988,75.692,life_expectancy_female
abw,1989,75.701,life_expectancy_female
abw,1990,75.701,life_expectancy_female
abw,1991,75.697,life_expectancy_female
abw,1992,75.7,life_expectancy_female
abw,1993,75.714,life_expectancy_female
abw,1994,75.731,life_expectancy_female
abw,1995,75.753,life_expectancy_female
abw,1996,75.768,life_expectancy_female
abw,1997,75.787,life_expectancy_female
abw,1998,75.823,life_expectancy_female
abw,1999,75.573,life_expectancy_female
abw,2000,75.651,life_expectancy_female
abw,2001,75.758,life_expectancy_female
abw,2002,75.825,life_expectancy_female
abw,2003,75.898,life_expectancy_female
abw,2004,75.872,life_expectancy_female
abw,2005,75.992,life_expectancy_female
abw,2006,76.109,life_expectancy_female
abw,2007,76.252,life_expectancy_female
abw,2008,76.404,life_expectancy_female
abw,2009,76.64,life_expectancy_female
abw,2010,77.57,life_expectancy_female
abw,2011,77.709,life_expectancy_female
abw,2012,77.899,life_expectancy_female
abw,2013,77.961,life_expectancy_female
abw,2014,78.124,life_expectancy_female
abw,2015,78.139,life_expectancy_female
abw,2016,78.203,life_expectancy_female
abw,2017,78.25,life_expectancy_female
abw,2018,78.708,life_expectancy_female
abw,2019,78.814,life_expectancy_female
abw,2020,78.333,life_expectancy_female
abw,2021,76.417,life_expectancy_female
abw,2022,78.691,life_expectancy_female
abw,2023,78.779,life_expectancy_female
abw,2024,78.918,life_expectancy_female
abw,2025,79.056,life_expectancy_female
abw,2026,79.193,life_expectancy_female
abw,2027,79.332,life_expectancy_female
abw,2028,79.477,life_expectancy_female
abw,2029,79.609,life_expectancy_female
abw,2030,79.753,life_expectancy_female
abw,2031,79.888,life_expectancy_female
abw,2032,80.019,life_expectancy_female
abw,2033,80.147,life_expectancy_female
abw,2034,80.271,life_expectancy_female
abw,2035,80.403,life_expectancy_female
abw,2036,80.534,life_expectancy_female
abw,2037,80.667,life_expectancy_female
abw,2038,80.798,life_expectancy_female
abw,2039,80.931,life_expectancy_female
abw,2040,81.055,life_expectancy_female
abw,2041,81.185,life_expectancy_female
abw,2042,81.308,life_expectancy_female
abw,2043,81.438,life_expectancy_female
abw,2044,81.567,life_expectancy_female
abw,2045,81.686,life_expectancy_female
abw,2046,81.816,life_expectancy_female
abw,2047,81.94,life_expectancy_female
abw,2048,82.069,life_expectancy_female
abw,2049,82.192,life_expectancy_female
abw,2050,82.317,life_expectancy_female
abw,2051,82.442,life_expectancy_female
abw,2052,82.564,life_expectancy_female
abw,2053,82.692,life_expectancy_female
abw,2054,82.812,life_expectancy_female
abw,2055,82.935,life_expectancy_female
abw,2056,83.052,life_expectancy_female
abw,2057,83.17,life_expectancy_female
abw,2058,83.29,life_expectancy_female
