geo,time,value,measure
abw,1950,55.215,life_expectancy_male
abw,1951,55.957,life_expectancy_male
abw,1952,56.633,life_expectancy_male
abw,1953,57.315,life_expectancy_male
abw,1954,57.985,life_expectancy_male
abw,1955,58.554,life_expectancy_male
abw,1956,59.085,life_expectancy_male
abw,1957,59.578,life_expectancy_male
abw,1958,60.024,life_expectancy_male
abw,1959,60.408,life_expectancy_male
abw,1960,60.746,life_expectancy_male
abw,1961,61.114,life_expectancy_male
abw,1962,61.371,life_expectancy_male
abw,1963,61.601,life_expectancy_male
abw,1964,61.824,life_expectancy_male
abw,1965,62.047,life_expectancy_male
abw,1966,62.582,life_expectancy_male
abw,1967,62.761,life_expectancy_male
abw,1968,63.086,life_expectancy_male
abw,1969,63.419,life_expectancy_male
abw,1970,63.737,life_expectancy_male
abw,1971,64.053,life_expectancy_male
abw,1972,64.482,life_expectancy_male
abw,1973,64.865,life_expectancy_male
abw,1974,65.263,life_expectancy_male
abw,1975,65.452,life_expectancy_male
abw,1976,65.76,life_expectancy_male
abw,1977,66.1,life_expectancy_male
abw,1978,66.411,life_expectancy_male
abw,1979,66.748,life_expectancy_male
abw,1980,67.176,life_expectancy_male
abw,1981,67.866,life_expectancy_male
abw,1982,68.049,life_expectancy_male
abw,1983,68.224,life_expectancy_male
abw,1984,68.351,life_expectancy_male
abw,1985,68.452,life_expectancy_male
abw,1986,68.506,life_expectancy_male
abw,1987,69.349,life_expectancy_male
abw,1988,69.476,life_expectancy_male
abw,1989,69.518,life_expectancy_male
abw,1990,69.543,life_expectancy_male
abw,1991,69.589,life_expectancy_male
abw,1992,69.724,life_expectancy_male
abw,1993,69.813,life_expectancy_male
abw,1994,69.827,life_expectancy_male
abw,1995,69.87,life_expectancy_male
abw,1996,69.895,life_expectancy_male
abw,1997,69.963,life_expectancy_male
abw,1998,69.996,life_expectancy_male
abw,1999,70.063,life_expectancy_male
abw,2000,70.149,life_expectancy_male
abw,2001,70.251,life_expectancy_male
abw,2002,70.364,life_expectancy_male
abw,2003,70.488,life_expectancy_male
abw,2004,70.487,life_expectancy_male
abw,2005,70.741,life_expectancy_male
abw,2006,70.791,life_expectancy_male
abw,2007,70.93,life_expectancy_male
abw,2008,71.058,life_expectancy_male
abw,2009,71.201,life_expectancy_male
abw,2010,70.997,life_expectancy_male
abw,2011,71.378,life_expectancy_male
abw,2012,71.685,life_expectancy_male
abw,2013,72.043,life_expectancy_male
abw,2014,72.245,life_expectancy_male
abw,2015,72.496,life_expectancy_male
abw,2016,72.691,life_expectancy_male
abw,2017,72.802,life_expectancy_male
abw,2018,72.88,life_expectancy_male
abw,2019,73.047,life_expectancy_male
abw,2020,72.344,life_expectancy_male
abw,2021,70.794,life_expectancy_male
abw,2022,73.537,life_expectancy_male
abw,2023,73.702,life_expectancy_male
abw,2024,73.845,life_expectancy_male
abw,2025,73.992,life_expectancy_male
abw,2026,74.141,life_expectancy_male
abw,2027,74.295,life_expectancy_male
abw,2028,74.455,life_expectancy_male
abw,2029,74.605,life_expectancy_male
abw,2030,74.768,life_expectancy_male
abw,2031,74.927,life_expectancy_male
abw,2032,75.085,life_expectancy_male
abw,2033,75.241,life_expectancy_male
abw,2034,75.393,life_expectancy_male
abw,2035,75.556,life_expectancy_male
abw,2036,75.717,life_expectancy_male
abw,2037,75.885,life_expectancy_male
abw,2038,76.049,life_expectancy_male
abw,2039,76.215,life_expectancy_male
abw,2040,76.379,life_expectancy_male
abw,2041,76.547,life_expectancy_male
abw,2042,76.704,life_expectancy_male
abw,2043,76.876,life_expectancy_male
abw,2044,77.044,life_expectancy_male
abw,2045,77.209,life_expectancy_male
abw,2046,77.386,life_expectancy_male
abw,2047,77.553,life_expectancy_male
abw,2048,77.733,life_expectancy_male
abw,2049,77.905,life_expectancy_male
abw,2050,78.078,life_expectancy_male
abw,2051,78.248,life_expectancy_male
abw,2052,78.415,life_expectancy_male
abw,2053,78.591,life_expectancy_male
abw,2054,78.761,life_expectancy_male
abw,2055,78.926,life_expectancy_male
abw,2056,79.088,life_expectancy_male
abw,2057,79.252,life_expectancy_male
abw,2058,79.415,life_expectancy_male
abw,2059,79.573,life_expectancy_male
abw,2060,79.743,life_expectancy_male
abw,2061,79.904,life_expectancy_male
abw,2062,80.072,life_expectancy_male
abw,2063,80.241,life_expectancy_male
abw,2064,80.396,life_expectancy_male
abw,2065,80.548,life_expectancy_male
abw,2066,80.701,life_expectancy_male
abw,2067,80.852,life_expectancy_male
abw,2068,81.009,life_expectancy_male
abw,2069,81.153,life_expectancy_male
abw,2070,81.309,life_expectancy_male
abw,2071,81.461,life_expectancy_male
abw,2072,81.599,life_expectancy_male
abw,2073,81.752,life_expectancy_male
abw,2074,81.904,life_expectancy_male
abw,2075,82.053,life_expectancy_male
abw,2076,82.196,life_expectancy_male
abw,2077,82.331,life_expectancy_male
abw,2078,82.47,life_expectancy_male
abw,2079,82.615,life_expectancy_male
abw,2080,82.758,life_expectancy_male
abw,2081,82.904,life_expectancy_male
abw,2082,83.045,life_expectancy_male
abw,2083,83.187,life_expectancy_male
abw,2084,83.32,life_expectancy_male
abw,2085,83.457,life_expectancy_male
